"Start","End","Team","League","Salary","Player","ID","Season"
"1996","97","Vancouver Grizzlies","NBA","$700,000","Pete Chilcutt","chilcpe01","1996-97"
"1997","98","Vancouver Grizzlies","NBA","$700,000","Pete Chilcutt","chilcpe01","1997-98"
"1998","99","Vancouver Grizzlies","NBA","$700,000","Pete Chilcutt","chilcpe01","1998-99"
"1999","00","Utah Jazz","NBA","$510,000","Pete Chilcutt","chilcpe01","1999-00"
"2004","05","Atlanta Hawks","NBA","$2,490,360","Josh Childress","childjo01","2004-05"
"2005","06","Atlanta Hawks","NBA","$2,677,200","Josh Childress","childjo01","2005-06"
"2006","07","Atlanta Hawks","NBA","$2,863,920","Josh Childress","childjo01","2006-07"
"2007","08","Atlanta Hawks","NBA","$3,631,449","Josh Childress","childjo01","2007-08"
"2010","11","Phoenix Suns","NBA","$6,500,000","Josh Childress","childjo01","2010-11"
"2011","12","Phoenix Suns","NBA","$6,000,000","Josh Childress","childjo01","2011-12"
"2012","13","Phoenix Suns","NBA","$7,000,000","Josh Childress","childjo01","2012-13"
"2012","13","Brooklyn Nets","NBA","$377,474","Josh Childress","childjo01","2012-13"
"2014","15","Phoenix Suns","NBA","$7,317,500","Josh Childress","childjo01","2014-15"
"1995","96","Portland Trail Blazers","NBA","$682,000","Randolph Childress","childra01","1995-96"
"1996","97","Portland Trail Blazers","NBA","$784,000","Randolph Childress","childra01","1996-97"
"1997","98","Detroit Pistons","NBA","$760,000","Randolph Childress","childra01","1997-98"
"1998","99","Detroit Pistons","NBA","$866,320","Randolph Childress","childra01","1998-99"
"1994","95","New Jersey Nets","NBA","$150,000","Chris Childs","childch01","1994-95"
"1995","96","New Jersey Nets","NBA","$350,000","Chris Childs","childch01","1995-96"
"1996","97","New York Knicks","NBA","$2,600,000","Chris Childs","childch01","1996-97"
"1997","98","New York Knicks","NBA","$3,120,000","Chris Childs","childch01","1997-98"
"1998","99","New York Knicks","NBA","$3,640,000","Chris Childs","childch01","1998-99"
"1999","00","New York Knicks","NBA","$4,160,000","Chris Childs","childch01","1999-00"
"2000","01","New York Knicks","NBA","$4,680,000","Chris Childs","childch01","2000-01"
"2001","02","Toronto Raptors","NBA","$5,200,000","Chris Childs","childch01","2001-02"
"2002","03","New Jersey Nets","NBA","$1,750,000","Chris Childs","childch01","2002-03"
"2003","04","New Jersey Nets","NBA","$1,166,667","Chris Childs","childch01","2003-04"
"2018","19","Houston Rockets","NBA","$137,376","Chris Chiozza","chiozch01","2018-19"
"2019","20","Brooklyn Nets","NBA","< $Minimum","Chris Chiozza","chiozch01","2019-20"
"2016","17","Phoenix Suns","NBA","$2,941,440","Marquese Chriss","chrisma01","2016-17"
"2017","18","Phoenix Suns","NBA","$3,073,800","Marquese Chriss","chrisma01","2017-18"
"2018","19","Cleveland Cavaliers","NBA","$3,206,160","Marquese Chriss","chrisma01","2018-19"
"2019","20","Golden State Warriors","NBA","$1,413,272","Marquese Chriss","chrisma01","2019-20"
"1993","94","Los Angeles Lakers","NBA","$1,445,000","Doug Christie","chrisdo01","1993-94"
"1994","95","New York Knicks","NBA","$1,244,000","Doug Christie","chrisdo01","1994-95"
"1995","96","New York Knicks","NBA","$1,466,000","Doug Christie","chrisdo01","1995-96"
"1996","97","Toronto Raptors","NBA","$1,355,000","Doug Christie","chrisdo01","1996-97"
"1997","98","Toronto Raptors","NBA","$2,012,767","Doug Christie","chrisdo01","1997-98"
"1998","99","Toronto Raptors","NBA","$2,353,000","Doug Christie","chrisdo01","1998-99"
"1999","00","Toronto Raptors","NBA","$2,742,600","Doug Christie","chrisdo01","1999-00"
"2000","01","Sacramento Kings","NBA","$3,140,000","Doug Christie","chrisdo01","2000-01"
"2001","02","Sacramento Kings","NBA","$5,200,000","Doug Christie","chrisdo01","2001-02"
"2002","03","Sacramento Kings","NBA","$6,250,000","Doug Christie","chrisdo01","2002-03"
"2003","04","Sacramento Kings","NBA","$6,900,000","Doug Christie","chrisdo01","2003-04"
"2004","05","Sacramento Kings","NBA","$7,550,000","Doug Christie","chrisdo01","2004-05"
"2005","06","Orlando Magic","NBA","$8,200,000","Doug Christie","chrisdo01","2005-06"
"2005","06","Dallas Mavericks","NBA","$1,575,000","Doug Christie","chrisdo01","2005-06"
"2006","07","Los Angeles Clippers","NBA","$158,071","Doug Christie","chrisdo01","2006-07"
"2016","17","Philadelphia 76ers","NBA","$50,000","Dionte Christmas","chrisdi01","2016-17"
"2015","16","Indiana Pacers","NBA","$1,000,000","Rakeem Christmas","chrisra01","2015-16"
"2016","17","Indiana Pacers","NBA","$1,052,342","Rakeem Christmas","chrisra01","2016-17"
"2017","18","Indiana Pacers","NBA","$172,552","Rakeem Christmas","chrisra01","2017-18"
"2016","17","Oklahoma City Thunder","NBA","$543,471","Semaj Christon","chrisse01","2016-17"
"1984","85","Boston Celtics","NBA","$65,000","Carlos Clark","clarkca01","1984-85"
"2009","10","Phoenix Suns","NBA","$1,766,280","Earl Clark","clarkea01","2009-10"
"2010","11","Orlando Magic","NBA","$1,898,760","Earl Clark","clarkea01","2010-11"
"2011","12","Orlando Magic","NBA","$1,160,000","Earl Clark","clarkea01","2011-12"
"2012","13","Los Angeles Lakers","NBA","$1,240,000","Earl Clark","clarkea01","2012-13"
"2013","14","Cleveland Cavaliers","NBA","$4,250,000","Earl Clark","clarkea01","2013-14"
"2014","15","Brooklyn Nets","NBA","$62,552","Earl Clark","clarkea01","2014-15"
"2018","19","Houston Rockets","NBA","$596,873","Gary Clark","clarkga01","2018-19"
"2019","20","Orlando Magic","NBA","$718,765","Gary Clark","clarkga01","2019-20"
"2019","20","Houston Rockets","NBA","$708,426","Gary Clark","clarkga01","2019-20"
"2014","15","Denver Nuggets","NBA","$816,482","Ian Clark","clarkia01","2014-15"
"2015","16","Golden State Warriors","NBA","$947,276","Ian Clark","clarkia01","2015-16"
"2016","17","Golden State Warriors","NBA","$1,015,696","Ian Clark","clarkia01","2016-17"
"2017","18","New Orleans Pelicans","NBA","$1,471,382","Ian Clark","clarkia01","2017-18"
"2018","19","New Orleans Pelicans","NBA","$1,757,429","Ian Clark","clarkia01","2018-19"
"1998","99","Denver Nuggets","NBA","$1,000,000","Keon Clark","clarkke01","1998-99"
"1999","00","Denver Nuggets","NBA","$1,289,400","Keon Clark","clarkke01","1999-00"
"2000","01","Denver Nuggets","NBA","$1,379,400","Keon Clark","clarkke01","2000-01"
"2001","02","Toronto Raptors","NBA","$1,971,163","Keon Clark","clarkke01","2001-02"
"2002","03","Sacramento Kings","NBA","$4,546,000","Keon Clark","clarkke01","2002-03"
"2003","04","Utah Jazz","NBA","$5,000,600","Keon Clark","clarkke01","2003-04"
"2019","20","Memphis Grizzlies","NBA","$2,478,840","Brandon Clarke","clarkbr01","2019-20"
"2015","16","Boston Celtics","NBA","$61,776","Coty Clarke","clarkco01","2015-16"
"2014","15","Los Angeles Lakers","NBA","$507,336","Jordan Clarkson","clarkjo01","2014-15"
"2015","16","Los Angeles Lakers","NBA","$845,059","Jordan Clarkson","clarkjo01","2015-16"
"2016","17","Los Angeles Lakers","NBA","$12,500,000","Jordan Clarkson","clarkjo01","2016-17"
"2017","18","Cleveland Cavaliers","NBA","$11,562,500","Jordan Clarkson","clarkjo01","2017-18"
"2018","19","Cleveland Cavaliers","NBA","$12,500,000","Jordan Clarkson","clarkjo01","2018-19"
"2019","20","Utah Jazz","NBA","$13,437,500","Jordan Clarkson","clarkjo01","2019-20"
"2017","18","Dallas Mavericks","NBA","< $Minimum","Gian Clavell","clavegi01","2017-18"
"2012","13","Portland Trail Blazers","NBA","$1,300,000","Victor Claver","clavevi01","2012-13"
"2013","14","Portland Trail Blazers","NBA","$1,330,000","Victor Claver","clavevi01","2013-14"
"2014","15","Denver Nuggets","NBA","$1,370,000","Victor Claver","clavevi01","2014-15"
"2019","20","Brooklyn Nets","NBA","$898,310","Nicolas Claxton","claxtni01","2019-20"
"2000","01","Philadelphia 76ers","NBA","$936,000","Speedy Claxton","claxtsp01","2000-01"
"2001","02","Philadelphia 76ers","NBA","$1,006,200","Speedy Claxton","claxtsp01","2001-02"
"2002","03","San Antonio Spurs","NBA","$1,076,400","Speedy Claxton","claxtsp01","2002-03"
"2003","04","Golden State Warriors","NBA","$3,000,000","Speedy Claxton","claxtsp01","2003-04"
"2004","05","Golden State Warriors","NBA","$3,300,000","Speedy Claxton","claxtsp01","2004-05"
"2005","06","New Orleans/Oklahoma City Hornets","NBA","$3,600,000","Speedy Claxton","claxtsp01","2005-06"
"2006","07","Atlanta Hawks","NBA","$6,854,546","Speedy Claxton","claxtsp01","2006-07"
"2007","08","Atlanta Hawks","NBA","$6,306,182","Speedy Claxton","claxtsp01","2007-08"
"2008","09","Atlanta Hawks","NBA","$5,757,818","Speedy Claxton","claxtsp01","2008-09"
"2009","10","Golden State Warriors","NBA","$5,209,454","Speedy Claxton","claxtsp01","2009-10"
"2000","01","Detroit Pistons","NBA","$1,253,400","Mateen Cleaves","cleavma01","2000-01"
"2001","02","Sacramento Kings","NBA","$1,347,480","Mateen Cleaves","cleavma01","2001-02"
"2002","03","Sacramento Kings","NBA","$1,441,440","Mateen Cleaves","cleavma01","2002-03"
"2004","05","Seattle SuperSonics","NBA","$735,960","Mateen Cleaves","cleavma01","2004-05"
"2005","06","Seattle SuperSonics","NBA","$305,784","Mateen Cleaves","cleavma01","2005-06"
"2019","20","Houston Rockets","NBA","$563,347","Chris Clemons","clemoch01","2019-20"
"2017","18","Atlanta Hawks","NBA","$225,792","Antonius Cleveland","clevean01","2017-18"
"2017","18","Dallas Mavericks","NBA","< $Minimum","Antonius Cleveland","clevean01","2017-18"
"2019","20","Dallas Mavericks","NBA","< $Minimum","Antonius Cleveland","clevean01","2019-20"
"1997","98","Los Angeles Clippers","NBA","$1,200,000","Keith Closs","closske01","1997-98"
"1998","99","Los Angeles Clippers","NBA","$1,440,000","Keith Closs","closske01","1998-99"
"1999","00","Los Angeles Clippers","NBA","$1,680,000","Keith Closs","closske01","1999-00"
"2000","01","Los Angeles Clippers","NBA","$1,920,000","Keith Closs","closske01","2000-01"
"2019","20","Los Angeles Clippers","NBA","< $Minimum","Amir Coffey","coffeam01","2019-20"
"1990","91","Minnesota Timberwolves","NBA","$150,000","Richard Coffey","cofferi01","1990-91"
"1985","86","New York Knicks","NBA","$70,000","Fred Cofield","cofiefr01","1985-86"
"1995","96","Phoenix Suns","NBA","$200,000","John Coker","cokerjo01","1995-96"
"1998","99","Washington Wizards","NBA","$350,000","John Coker","cokerjo01","1998-99"
"1999","00","Washington Wizards","NBA","$510,000","John Coker","cokerjo01","1999-00"
"2011","12","Miami Heat","NBA","$1,035,960","Norris Cole","coleno01","2011-12"
"2012","13","Miami Heat","NBA","$1,082,520","Norris Cole","coleno01","2012-13"
"2013","14","Miami Heat","NBA","$1,129,200","Norris Cole","coleno01","2013-14"
"2014","15","New Orleans Pelicans","NBA","$2,038,206","Norris Cole","coleno01","2014-15"
"2015","16","New Orleans Pelicans","NBA","$3,036,927","Norris Cole","coleno01","2015-16"
"2016","17","Oklahoma City Thunder","NBA","$247,991","Norris Cole","coleno01","2016-17"
"1987","88","Philadelphia 76ers","NBA","$275,000","Ben Coleman","colembe01","1987-88"
"1988","89","Philadelphia 76ers","NBA","$300,000","Ben Coleman","colembe01","1988-89"
"1990","91","New Jersey Nets","NBA","$2,100,000","Derrick Coleman","colemde01","1990-91"
"1991","92","New Jersey Nets","NBA","$2,300,000","Derrick Coleman","colemde01","1991-92"
"1992","93","New Jersey Nets","NBA","$2,870,000","Derrick Coleman","colemde01","1992-93"
"1993","94","New Jersey Nets","NBA","$3,440,000","Derrick Coleman","colemde01","1993-94"
"1994","95","New Jersey Nets","NBA","$4,212,000","Derrick Coleman","colemde01","1994-95"
"1995","96","Philadelphia 76ers","NBA","$5,476,000","Derrick Coleman","colemde01","1995-96"
"1996","97","Philadelphia 76ers","NBA","$6,739,000","Derrick Coleman","colemde01","1996-97"
"1997","98","Philadelphia 76ers","NBA","$8,002,800","Derrick Coleman","colemde01","1997-98"
"1998","99","Charlotte Hornets","NBA","$6,667,000","Derrick Coleman","colemde01","1998-99"
"1998","99","Philadelphia 76ers","NBA","$5,600,000","Derrick Coleman","colemde01","1998-99"
"1999","00","Charlotte Hornets","NBA","$7,370,000","Derrick Coleman","colemde01","1999-00"
"2000","01","Charlotte Hornets","NBA","$8,000,000","Derrick Coleman","colemde01","2000-01"
"2001","02","Philadelphia 76ers","NBA","$8,710,000","Derrick Coleman","colemde01","2001-02"
"2002","03","Philadelphia 76ers","NBA","$9,380,000","Derrick Coleman","colemde01","2002-03"
"2003","04","Philadelphia 76ers","NBA","$4,000,000","Derrick Coleman","colemde01","2003-04"
"2004","05","Detroit Pistons","NBA","$4,500,000","Derrick Coleman","colemde01","2004-05"
"2005","06","Detroit Pistons","NBA","$2,000,000","Derrick Coleman","colemde01","2005-06"
"1990","91","Miami Heat","NBA","$290,000","Bimbo Coles","colesbi01","1990-91"
"1991","92","Miami Heat","NBA","$212,000","Bimbo Coles","colesbi01","1991-92"
"1992","93","Miami Heat","NBA","$650,000","Bimbo Coles","colesbi01","1992-93"
"1993","94","Miami Heat","NBA","$802,000","Bimbo Coles","colesbi01","1993-94"
"1994","95","Miami Heat","NBA","$902,000","Bimbo Coles","colesbi01","1994-95"
"1995","96","Miami Heat","NBA","$1,002,000","Bimbo Coles","colesbi01","1995-96"
"1996","97","Golden State Warriors","NBA","$1,400,000","Bimbo Coles","colesbi01","1996-97"
"1997","98","Golden State Warriors","NBA","$1,700,000","Bimbo Coles","colesbi01","1997-98"
"1998","99","Golden State Warriors","NBA","$2,000,000","Bimbo Coles","colesbi01","1998-99"
"1999","00","Atlanta Hawks","NBA","$2,300,000","Bimbo Coles","colesbi01","1999-00"
"2000","01","Cleveland Cavaliers","NBA","$2,250,000","Bimbo Coles","colesbi01","2000-01"
"2001","02","Cleveland Cavaliers","NBA","$2,200,000","Bimbo Coles","colesbi01","2001-02"
"2002","03","Cleveland Cavaliers","NBA","$2,400,000","Bimbo Coles","colesbi01","2002-03"
"2003","04","Miami Heat","NBA","$1,070,000","Bimbo Coles","colesbi01","2003-04"
"2003","04","Cleveland Cavaliers","NBA","$1,050,000","Bimbo Coles","colesbi01","2003-04"
"2000","01","Houston Rockets","NBA","$1,190,760","Jason Collier","collija02","2000-01"
"2001","02","Houston Rockets","NBA","$1,280,040","Jason Collier","collija02","2001-02"
"2002","03","Houston Rockets","NBA","$1,369,440","Jason Collier","collija02","2002-03"
"2004","05","Atlanta Hawks","NBA","$1,500,000","Jason Collier","collija02","2004-05"
"2005","06","Atlanta Hawks","NBA","$1,650,000","Jason Collier","collija02","2005-06"
"1997","98","Los Angeles Clippers","NBA","$242,000","James Collins","collija01","1997-98"
"2001","02","Utah Jazz","NBA","$332,817","Jarron Collins","collija03","2001-02"
"2002","03","Utah Jazz","NBA","$1,150,000","Jarron Collins","collija03","2002-03"
"2003","04","Utah Jazz","NBA","$1,250,000","Jarron Collins","collija03","2003-04"
"2004","05","Utah Jazz","NBA","$1,700,000","Jarron Collins","collija03","2004-05"
"2005","06","Utah Jazz","NBA","$1,700,000","Jarron Collins","collija03","2005-06"
"2006","07","Utah Jazz","NBA","$2,625,698","Jarron Collins","collija03","2006-07"
"2007","08","Utah Jazz","NBA","$2,350,000","Jarron Collins","collija03","2007-08"
"2008","09","Utah Jazz","NBA","$2,074,302","Jarron Collins","collija03","2008-09"
"2009","10","Phoenix Suns","NBA","$1,181,803","Jarron Collins","collija03","2009-10"
"2010","11","Los Angeles Clippers","NBA","$643,551","Jarron Collins","collija03","2010-11"
"2001","02","New Jersey Nets","NBA","$1,067,400","Jason Collins","collija04","2001-02"
"2002","03","New Jersey Nets","NBA","$1,147,440","Jason Collins","collija04","2002-03"
"2003","04","New Jersey Nets","NBA","$1,227,480","Jason Collins","collija04","2003-04"
"2004","05","New Jersey Nets","NBA","$1,887,864","Jason Collins","collija04","2004-05"
"2005","06","New Jersey Nets","NBA","$5,500,000","Jason Collins","collija04","2005-06"
"2006","07","New Jersey Nets","NBA","$5,800,000","Jason Collins","collija04","2006-07"
"2007","08","Memphis Grizzlies","NBA","$6,100,000","Jason Collins","collija04","2007-08"
"2008","09","Minnesota Timberwolves","NBA","$6,200,000","Jason Collins","collija04","2008-09"
"2009","10","Atlanta Hawks","NBA","$1,181,803","Jason Collins","collija04","2009-10"
"2010","11","Atlanta Hawks","NBA","$1,352,181","Jason Collins","collija04","2010-11"
"2011","12","Atlanta Hawks","NBA","$1,352,181","Jason Collins","collija04","2011-12"
"2012","13","Washington Wizards","NBA","$1,352,181","Jason Collins","collija04","2012-13"
"2017","18","Atlanta Hawks","NBA","$1,936,920","John Collins","collijo01","2017-18"
"2018","19","Atlanta Hawks","NBA","$2,299,080","John Collins","collijo01","2018-19"
"2019","20","Atlanta Hawks","NBA","$2,686,560","John Collins","collijo01","2019-20"
"2006","07","New York Knicks","NBA","$899,880","Mardy Collins","collima01","2006-07"
"2007","08","New York Knicks","NBA","$967,320","Mardy Collins","collima01","2007-08"
"2008","09","Los Angeles Clippers","NBA","$1,034,760","Mardy Collins","collima01","2008-09"
"2009","10","Los Angeles Clippers","NBA","$1,867,742","Mardy Collins","collima01","2009-10"
"2010","11","Charlotte Bobcats","NBA","$473,604","Sherron Collins","collish01","2010-11"
"2017","18","Portland Trail Blazers","NBA","$3,057,240","Zach Collins","colliza01","2017-18"
"2018","19","Portland Trail Blazers","NBA","$3,628,920","Zach Collins","colliza01","2018-19"
"2019","20","Portland Trail Blazers","NBA","$4,240,200","Zach Collins","colliza01","2019-20"
"2016","17","Dallas Mavericks","NBA","$70,000","Kyle Collinsworth","colliky01","2016-17"
"2017","18","Dallas Mavericks","NBA","$382,464 (TW)","Kyle Collinsworth","colliky01","2017-18"
"2009","10","New Orleans Hornets","NBA","$1,266,120","Darren Collison","collida01","2009-10"
"2010","11","Indiana Pacers","NBA","$1,361,040","Darren Collison","collida01","2010-11"
"2011","12","Indiana Pacers","NBA","$1,455,960","Darren Collison","collida01","2011-12"
"2012","13","Dallas Mavericks","NBA","$2,319,344","Darren Collison","collida01","2012-13"
"2013","14","Los Angeles Clippers","NBA","$1,900,000","Darren Collison","collida01","2013-14"
"2014","15","Sacramento Kings","NBA","$4,797,664","Darren Collison","collida01","2014-15"
"2015","16","Sacramento Kings","NBA","$5,013,559","Darren Collison","collida01","2015-16"
"2016","17","Sacramento Kings","NBA","$5,229,454","Darren Collison","collida01","2016-17"
"2017","18","Indiana Pacers","NBA","$10,000,000","Darren Collison","collida01","2017-18"
"2018","19","Indiana Pacers","NBA","$10,000,000","Darren Collison","collida01","2018-19"
"2003","04","Seattle SuperSonics","NBA","$1,578,240","Nick Collison","collini01","2003-04"
"2004","05","Seattle SuperSonics","NBA","$1,969,680","Nick Collison","collini01","2004-05"
"2005","06","Seattle SuperSonics","NBA","$1,815,000","Nick Collison","collini01","2005-06"
"2006","07","Seattle SuperSonics","NBA","$2,501,070","Nick Collison","collini01","2006-07"
"2007","08","Seattle SuperSonics","NBA","$5,750,000","Nick Collison","collini01","2007-08"
"2008","09","Oklahoma City Thunder","NBA","$6,350,000","Nick Collison","collini01","2008-09"
"2009","10","Oklahoma City Thunder","NBA","$6,250,000","Nick Collison","collini01","2009-10"
"2010","11","Oklahoma City Thunder","NBA","$13,250,000","Nick Collison","collini01","2010-11"
"2011","12","Oklahoma City Thunder","NBA","$3,272,997","Nick Collison","collini01","2011-12"
"2012","13","Oklahoma City Thunder","NBA","$2,929,332","Nick Collison","collini01","2012-13"
"2013","14","Oklahoma City Thunder","NBA","$2,585,668","Nick Collison","collini01","2013-14"
"2014","15","Oklahoma City Thunder","NBA","$2,242,003","Nick Collison","collini01","2014-15"
"2015","16","Oklahoma City Thunder","NBA","$3,750,000","Nick Collison","collini01","2015-16"
"2016","17","Oklahoma City Thunder","NBA","$3,750,000","Nick Collison","collini01","2016-17"
"2017","18","Oklahoma City Thunder","NBA","$2,328,652","Nick Collison","collini01","2017-18"
"2018","19","Milwaukee Bucks","NBA","< $Minimum","Bonzie Colson","colsobo01","2018-19"
"1985","86","Portland Trail Blazers","NBA","$112,500","Steve Colter","coltest01","1985-86"
"1987","88","Washington Bullets","NBA","$150,000","Steve Colter","coltest01","1987-88"
"1988","89","Washington Bullets","NBA","$200,000","Steve Colter","coltest01","1988-89"
"1990","91","Sacramento Kings","NBA","$300,000","Steve Colter","coltest01","1990-91"
"1994","95","Cleveland Cavaliers","NBA","$150,000","Steve Colter","coltest01","1994-95"
"1987","88","New Jersey Nets","NBA","$115,000","Dallas Comegys","comegda01","1987-88"
"1988","89","San Antonio Spurs","NBA","$175,000","Dallas Comegys","comegda01","1988-89"
"2007","08","Memphis Grizzlies","NBA","$3,377,160","Mike Conley","conlemi01","2007-08"
"2008","09","Memphis Grizzlies","NBA","$3,630,480","Mike Conley","conlemi01","2008-09"
"2009","10","Memphis Grizzlies","NBA","$3,883,800","Mike Conley","conlemi01","2009-10"
"2010","11","Memphis Grizzlies","NBA","$4,913,007","Mike Conley","conlemi01","2010-11"
"2011","12","Memphis Grizzlies","NBA","$6,611,571","Mike Conley","conlemi01","2011-12"
"2012","13","Memphis Grizzlies","NBA","$7,305,786","Mike Conley","conlemi01","2012-13"
"2013","14","Memphis Grizzlies","NBA","$8,000,001","Mike Conley","conlemi01","2013-14"
"2014","15","Memphis Grizzlies","NBA","$8,894,216","Mike Conley","conlemi01","2014-15"
"2015","16","Memphis Grizzlies","NBA","$9,588,426","Mike Conley","conlemi01","2015-16"
"2016","17","Memphis Grizzlies","NBA","$26,540,100","Mike Conley","conlemi01","2016-17"
"2017","18","Memphis Grizzlies","NBA","$28,530,608","Mike Conley","conlemi01","2017-18"
"2018","19","Memphis Grizzlies","NBA","$30,521,116","Mike Conley","conlemi01","2018-19"
"2019","20","Utah Jazz","NBA","$32,511,623","Mike Conley","conlemi01","2019-20"
"1991","92","Seattle SuperSonics","NBA","$130,000","Marty Conlon","conloma01","1991-92"
"1992","93","Sacramento Kings","NBA","$200,000","Marty Conlon","conloma01","1992-93"
"1993","94","Sacramento Kings","NBA","$250,000","Marty Conlon","conloma01","1993-94"
"1994","95","Milwaukee Bucks","NBA","$182,500","Marty Conlon","conloma01","1994-95"
"1995","96","Milwaukee Bucks","NBA","$1,165,000","Marty Conlon","conloma01","1995-96"
"1996","97","Phoenix Suns","NBA","$1,200,000","Marty Conlon","conloma01","1996-97"
"1996","97","Boston Celtics","NBA","$247,500","Marty Conlon","conloma01","1996-97"
"1998","99","Miami Heat","NBA","$662,500","Marty Conlon","conloma01","1998-99"
"1999","00","Boston Celtics","NBA","$229,059","Marty Conlon","conloma01","1999-00"
"1999","00","Los Angeles Clippers","NBA","$114,529","Marty Conlon","conloma01","1999-00"
"2015","16","Portland Trail Blazers","NBA","$525,093","Pat Connaughton","connapa01","2015-16"
"2016","17","Portland Trail Blazers","NBA","$874,636","Pat Connaughton","connapa01","2016-17"
"2017","18","Portland Trail Blazers","NBA","$1,471,382","Pat Connaughton","connapa01","2017-18"
"2018","19","Milwaukee Bucks","NBA","$1,641,000","Pat Connaughton","connapa01","2018-19"
"2019","20","Milwaukee Bucks","NBA","$1,723,050","Pat Connaughton","connapa01","2019-20"
"1984","85","Golden State Warriors","NBA","$160,000","Lester Conner","connele01","1984-85"
"1985","86","Golden State Warriors","NBA","$200,000","Lester Conner","connele01","1985-86"
"1987","88","Houston Rockets","NBA","$175,000","Lester Conner","connele01","1987-88"
"1988","89","New Jersey Nets","NBA","$225,000","Lester Conner","connele01","1988-89"
"1990","91","Milwaukee Bucks","NBA","$900,000","Lester Conner","connele01","1990-91"
"1991","92","Milwaukee Bucks","NBA","$900,000","Lester Conner","connele01","1991-92"
"1992","93","Orlando Magic","NBA","$890,000","Lester Conner","connele01","1992-93"
"1993","94","Orlando Magic","NBA","$25,000","Lester Conner","connele01","1993-94"
"2006","07","Memphis Grizzlies","NBA","$20,279","Will Conroy","conrowi01","2006-07"
"2006","07","Los Angeles Clippers","NBA","$15,099","Will Conroy","conrowi01","2006-07"
"2009","10","Houston Rockets","NBA","$48,559","Will Conroy","conrowi01","2009-10"
"2012","13","Minnesota Timberwolves","NBA","$85,439","Will Conroy","conrowi01","2012-13"
"1990","91","Denver Nuggets","NBA","$370,000","Anthony Cook","cookan01","1990-91"
"1991","92","Denver Nuggets","NBA","$480,000","Anthony Cook","cookan01","1991-92"
"1992","93","Denver Nuggets","NBA","$570,000","Anthony Cook","cookan01","1992-93"
"1993","94","Milwaukee Bucks","NBA","$650,000","Anthony Cook","cookan01","1993-94"
"1995","96","Portland Trail Blazers","NBA","$225,000","Anthony Cook","cookan01","1995-96"
"2003","04","Los Angeles Lakers","NBA","$903,360","Brian Cook","cookbr01","2003-04"
"2004","05","Los Angeles Lakers","NBA","$971,160","Brian Cook","cookbr01","2004-05"
"2005","06","Los Angeles Lakers","NBA","$1,038,960","Brian Cook","cookbr01","2005-06"
"2006","07","Los Angeles Lakers","NBA","$1,817,141","Brian Cook","cookbr01","2006-07"
"2007","08","Orlando Magic","NBA","$3,500,000","Brian Cook","cookbr01","2007-08"
"2008","09","Houston Rockets","NBA","$3,500,000","Brian Cook","cookbr01","2008-09"
"2009","10","Houston Rockets","NBA","$3,500,000","Brian Cook","cookbr01","2009-10"
"2010","11","Los Angeles Clippers","NBA","$1,146,337","Brian Cook","cookbr01","2010-11"
"2011","12","Los Angeles Clippers","NBA","$1,223,166","Brian Cook","cookbr01","2011-12"
"2007","08","Miami Heat","NBA","$1,184,400","Daequan Cook","cookda02","2007-08"
"2008","09","Miami Heat","NBA","$1,273,200","Daequan Cook","cookda02","2008-09"
"2009","10","Miami Heat","NBA","$1,362,120","Daequan Cook","cookda02","2009-10"
"2010","11","Oklahoma City Thunder","NBA","$2,169,857","Daequan Cook","cookda02","2010-11"
"2011","12","Oklahoma City Thunder","NBA","$3,341,558","Daequan Cook","cookda02","2011-12"
"2012","13","Houston Rockets","NBA","$3,090,042","Daequan Cook","cookda02","2012-13"
"2012","13","Chicago Bulls","NBA","$589,769","Daequan Cook","cookda02","2012-13"
"1984","85","New Jersey Nets","NBA","$255,000","Darwin Cook","cookda01","1984-85"
"1985","86","New Jersey Nets","NBA","$275,000","Darwin Cook","cookda01","1985-86"
"1988","89","San Antonio Spurs","NBA","$400,000","Darwin Cook","cookda01","1988-89"
"1984","85","Cleveland Cavaliers","NBA","$142,000","Jeff Cook","cookje01","1984-85"
"1985","86","San Antonio Spurs","NBA","$150,566","Jeff Cook","cookje01","1985-86"
"1987","88","Phoenix Suns","NBA","$175,000","Jeff Cook","cookje01","1987-88"
"2001","02","Dallas Mavericks","NBA","$292,230","Omar Cook","cookom01","2001-02"
"2016","17","New Orleans Pelicans","NBA","$79,922","Quinn Cook","cookqu01","2016-17"
"2016","17","Dallas Mavericks","NBA","$31,969","Quinn Cook","cookqu01","2016-17"
"2017","18","Atlanta Hawks","NBA","$100,000","Quinn Cook","cookqu01","2017-18"
"2017","18","New Orleans Pelicans","NBA","$25,000","Quinn Cook","cookqu01","2017-18"
"2017","18","Golden State Warriors","NBA","$14,832 (TW)","Quinn Cook","cookqu01","2017-18"
"2018","19","Golden State Warriors","NBA","$1,544,951","Quinn Cook","cookqu01","2018-19"
"2019","20","Los Angeles Lakers","NBA","$3,000,000","Quinn Cook","cookqu01","2019-20"
"2019","20","Cleveland Cavaliers","NBA","$151,504","Tyler Cook","cookty01","2019-20"
"2019","20","Denver Nuggets","NBA","< $Minimum","Tyler Cook","cookty01","2019-20"
"2017","18","New Orleans Pelicans","NBA","< $Minimum","Charles Cooke","cookech01","2017-18"
"2018","19","Miami Heat","NBA","$76,236","Charles Cooke","cookech01","2018-19"
